Batch,Problem,FilePath,SolutionFound,SolutionCount,ComputationTime_ms,Restarts,TotalSteps,AvgStepsToSolution,EstimatedEnergy_microjoules,EstimatedPower_mW,EnergyPerSolution_microjoules,RunTimestamp
t_batch_2,formula_26.cnf,./problems/t_batch_2/formula_26.cnf,True,1,0.624,1,6272,6272.0,9555.6864,15313.6,9555.6864,2025-03-09T13:27:48.228128
t_batch_2,formula_27.cnf,./problems/t_batch_2/formula_27.cnf,True,1,18.777,1,212850,212850.0,481489.22250000003,25642.5,481489.22250000003,2025-03-09T13:27:48.254144
t_batch_2,formula_28.cnf,./problems/t_batch_2/formula_28.cnf,True,1,5.47,1,56844,56844.0,97596.834,17842.2,97596.834,2025-03-09T13:27:48.266021
t_batch_2,formula_29.cnf,./problems/t_batch_2/formula_29.cnf,True,1,5.725,1,63635,63635.0,104090.51875,18181.75,104090.51875,2025-03-09T13:27:48.278275
t_batch_2,formula_3.cnf,./problems/t_batch_2/formula_3.cnf,True,1,2.199,1,20812,20812.0,35273.2794,16040.6,35273.2794,2025-03-09T13:27:48.286944
t_batch_2,formula_30.cnf,./problems/t_batch_2/formula_30.cnf,True,1,0.224,1,2181,2181.0,3384.4271999999996,15109.05,3384.4271999999996,2025-03-09T13:27:48.293824
t_batch_2,formula_31.cnf,./problems/t_batch_2/formula_31.cnf,True,1,3.615,1,36687,36687.0,60856.17525,16834.35,60856.17525,2025-03-09T13:27:48.304401
t_batch_2,formula_32.cnf,./problems/t_batch_2/formula_32.cnf,True,1,5.319,1,54754,54754.0,94346.8263,17737.7,94346.8263,2025-03-09T13:27:48.316277
t_batch_2,formula_33.cnf,./problems/t_batch_2/formula_33.cnf,False,0,87.415,1,1000000,,5681975.0,65000.0,,2025-03-09T13:27:48.410288
t_batch_2,formula_34.cnf,./problems/t_batch_2/formula_34.cnf,True,1,3.477,1,35011,35011.0,58241.66235,16750.55,58241.66235,2025-03-09T13:27:48.420223
